#    lam  spec.e spec.sa spec.sb spec.sd  spec.ir
#
4073.160 0.75144 0.86249 0.94611 1.03351 1.04727
4074.100 0.74861 0.86284 0.94976 1.04551 1.06849
4075.040 0.74578 0.86163 0.95027 1.05020 1.08131
4075.970 0.73539 0.85244 0.94221 1.04365 1.07807
4076.910 0.72547 0.84008 0.92718 1.02034 1.04869
4077.850 0.72149 0.83313 0.91710 1.00168 1.02220
4078.790 0.72737 0.83695 0.91892 0.99938 1.01994
4079.730 0.74534 0.85396 0.93527 1.01692 1.02642
4080.670 0.76807 0.87533 0.95567 1.03841 1.04796
4081.610 0.78408 0.89115 0.97162 1.05730 1.06254
4082.550 0.79789 0.90055 0.97668 1.05338 1.04385
4083.490 0.80222 0.90204 0.97533 1.04550 1.04000
4084.430 0.79983 0.89920 0.97203 1.04078 1.02745
4085.370 0.80468 0.90067 0.97010 1.03095 1.01350
4086.310 0.81088 0.90434 0.97127 1.02677 1.00073
4087.250 0.82557 0.91524 0.97852 1.02693 0.99030
4088.190 0.83766 0.92628 0.98872 1.03698 1.00012
4089.130 0.84695 0.93404 0.99508 1.04131 1.00513
4090.080 0.85062 0.93568 0.99471 1.03646 0.99510
4091.020 0.84574 0.93194 0.99214 1.03635 0.99601
4091.960 0.83450 0.91909 0.97748 1.01544 0.97000
4092.900 0.81819 0.90364 0.96268 1.00007 0.95508
4093.840 0.80397 0.88928 0.94799 0.98254 0.93827
4094.790 0.78640 0.87260 0.93199 0.96580 0.92620
4095.730 0.76708 0.85188 0.90953 0.93607 0.88963
4096.670 0.74160 0.82700 0.88490 0.90840 0.86429
4097.620 0.72124 0.80550 0.86191 0.87863 0.83063
4098.560 0.69985 0.78612 0.84432 0.86264 0.81910
4099.500 0.68548 0.77611 0.83867 0.86633 0.84118
4100.450 0.67128 0.77831 0.85784 0.92770 0.99113
4101.390 0.65685 0.79126 0.89926 1.04132 1.31717
4102.340 0.64868 0.80304 0.93186 1.12731 1.66989
4103.280 0.64908 0.79932 0.92387 1.10864 1.70165
4104.230 0.66545 0.78687 0.88160 0.99135 1.38398
4105.170 0.69135 0.78578 0.85275 0.89421 1.03545
4106.120 0.71650 0.79785 0.85161 0.86260 0.86395
